"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"EGHT","8x8 Inc","8.87","797125620.87","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"ABY","Abengoa Yield plc","34.29","2743200000","n/a","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby",
"ACPW","Active Power, Inc.","2.22","51415097.88","n/a","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ADTN","ADTRAN, Inc.","18.82","1005747857.5","n/a","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"GAS","AGL Resources, Inc.","50.18","6011176610.4","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/gas",
"ALP^N","Alabama Power Company","25.43","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/alp^n",
"ALP^O","Alabama Power Company","26.68","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/alp^o",
"ALSK","Alaska Communications Systems Group, Inc.","1.66","82746202.6","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
"ALU","Alcatel Lucent","3.82","10774051271.4","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alu",
"ALE","Allete, Inc.","52.36","2532625711","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"LNT","Alliant Energy Corporation","62.91","6993504897.84","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/lnt",
"ALTV","Alteva (D/B/A)","7.29","43674164.01","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv",
"AEE","Ameren Corporation","42.29","10261025607.42","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/aee",
"AMOV","America Movil, S.A.B. de C.V.","21.28","217241093.44","10208698","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","21.4","73602999500","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amx",
"AEP","American Electric Power Company, Inc.","56.46","27643976140.08","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aep",
"AMID","American Midstream Partners, LP","16.7","379991365.8","n/a","2011","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amid",
"AWR","American States Water Company","40.37","1542964289.79","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awr",
"AWK","American Water Works","54.89","9875096931.59","n/a","2008","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awk",
"AM","Antero Midstream Partners LP","24.53","3725663350.42","n/a","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/am",
"WTR","Aqua America, Inc.","26.72","4730287237.76","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
"ARTNA","Artesian Resources Corporation","21.6","192652020","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/artna",
"T","AT&T Inc.","33.13","171950260969.89","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/t",
"ATTO","Atento S.A.","12.19","897421839.09","n/a","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atto",
"ATNI","Atlantic Tele-Network, Inc.","73.33","1168256748.34","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atni",
"ATO","Atmos Energy Corporation","55.95","5643231753.45","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/ato",
"AUDC","AudioCodes Ltd.","4.87","202698584.82","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/audc",
"AWX","Avalon Holdings Corporation","2.752","10466766.912","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AVA","Avista Corporation","34.01","2120796158.17","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ava",
"BCE","BCE, Inc.","42.9","36059021255.4","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bce",
"BKH","Black Hills Corporation","51.71","2310199683.12","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bkh",
"BBRY","BlackBerry Limited","9.04","4780372990.88","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bbry",
"BBLU","Blue Earth, Inc.","0.9858","93190237.08","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bblu",
"BWP","Boardwalk Pipeline Partners L.P.","16.02","3896445292.02","n/a","2005","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/bwp",
