"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","11.56","748013717.64","n/a","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"WBAI","500.com Limited","12.29","430820505.53","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"SIXD","6D Global Technologies, Inc.","8.3599","653540340.5583","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd",
"AHC","A.H. Belo Corporation","8.27","179713649.84","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"ABGB","Abengoa, S.A.","18.83","194524143.52","10330544","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb",
"ANF","Abercrombie & Fitch Company","22.22","1545358026.52","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"AKR","Acadia Realty Trust","34.87","2376308834.46","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACFN","Acorn Energy, Inc.","0.5","13237795.5","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acfn",
"ATV","Acorn International, Inc.","0.82","22618275.66","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"AIII","ACRE Realty Investors, Inc.","1.62","32483439.72","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii",
"AEY","ADDvantage Technologies Group, Inc.","2.36","23697246.16","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"ADT","ADT Corporation","41.77","7149028187.63","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/adt",
"AAP","Advance Auto Parts Inc","143.98","10530805041.02","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"ACM","AECOM","31.08","4832180839.92","n/a","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm",
"ARO","Aeropostale Inc","3.53","279448288.13","n/a","2002","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/aro",
"ADC","Agree Realty Corporation","33.23","585437732.81","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/adc",
"ALX","Alexander&#39;s, Inc.","452.99","2313055726.04","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","96.94","6982970337.48","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/are",
"ALLE","Allegion plc","61.45","5899761468.65","n/a","2013","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/alle",
"AOI","Alliance One International, Inc.","1.09","105052259.8","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/aoi",
"BSI","Alon Blue Square Israel Ltd.","2.8","184672395.6","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/bsi",
"ASPS","Altisource Portfolio Solutions S.A.","15","301984890","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AMZN","Amazon.com, Inc.","372.25","172866921292.75","n/a","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"EPAX","Ambassadors Group, Inc.","2.52","43560699.84","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/epax",
"AMC","AMC Entertainment Holdings, Inc.","35.18","3426618507.62","n/a","2013","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/amc",
"AMCX","AMC Networks Inc.","75.33","5426590976.73","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx",
"AMFW","Amec Plc Ord","13.29","5166103193.07","n/a","2014","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/amfw",
"UHAL","Amerco","326.95","6410766286.6","n/a","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal",
