"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AVHI","A V Homes, Inc.","15.97","356761846.94","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"AAON","AAON, Inc.","23.85","1289248526.7","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","30.6","1217604416.4","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"ABAX","ABAXIS, Inc.","63.1","1422210900","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"AXDX","Accelerate Diagnostics, Inc.","22.7","1013588959.2","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"ACW","Accuride Corporation New","4.92","235182838.8","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACU","Acme United Corporation.","18.37","60958126.24","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"WMS","Advanced Drainage Systems, Inc.","29.03","1546125491.28","n/a","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"AEIS","Advanced Energy Industries, Inc.","25.7","1048797956.3","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AEHR","Aehr Test Systems","2.06","26436556.8","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AEPI","AEP Industries Inc.","56.28","286076586.6","n/a","1986","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/aepi",
"AVAV","AeroVironment, Inc.","26.45","617101670.2","n/a","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"AFFX","Affymetrix, Inc.","12.43","928711589.19","n/a","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/affx",
"AGCO","AGCO Corporation","47.6","4209852147.2","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","42.05","14120822988.85","n/a","1999","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/a",
"AIRI","Air Industries Group","10.05","71359934.55","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"ARG","Airgas, Inc.","105.78","7946050479.66","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/arg",
"ALG","Alamo Group, Inc.","62.58","709168637.94","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/alg",
"AA","Alcoa Inc.","13.14","16060705417.98","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa",
"AA^","Alcoa Inc.","85.219","0","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"AMOT","Allied Motion Technologies, Inc.","33.84","311762742.48","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"ALSN","Allison Transmission Holdings, Inc.","31.76","5718503924","n/a","2012","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alsn",
"AIMC","Altra Industrial Motion Corp.","28.3","746826019.6","n/a","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc",
"AXL","American Axle & Manufacturing Holdings, Inc.","25.93","1964696367.27","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/axl",
"ARII","American Railcar Industries, Inc.","50.42","1076582814.74","n/a","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"AP","Ampco-Pittsburgh Corporation","17.46","182032093.44","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","58.8","18239501280","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aph",
"ALOG","Analogic Corporation","88.16","1093759596.64","n/a","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog",
"APOG","Apogee Enterprises, Inc.","44.44","1288591527.96","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
"ARCW","ARC Group Worldwide, Inc.","6.11","92139539.31","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/arcw",
"ACAT","Arctic Cat Inc.","36.61","473982677.49","n/a","1990","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/acat",
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","4.5986","18617671.2272","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artw",
"ASTE","Astec Industries, Inc.","42","963278064","n/a","1986","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/aste",
"ATRO","Astronics Corporation","73.07","1604413919.26","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/atro",
"ASTC","Astrotech Corporation","3.12","62443015.44","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/astc",
"ATRM","ATRM Holdings, Inc.","3.16","3749254.68","n/a","1993","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/atrm",
"ALV","Autoliv, Inc.","119.05","10512681082.75","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alv",
"AVX","AVX Corporation","14.38","2420170723.94","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/avx",
"BMI","Badger Meter, Inc.","60.01","867389820.88","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bmi",
"BBDO","Banco Bradesco Sa","9.92","49941942538.88","n/a","n/a","Capital Goods","Miscellaneous","http://www.nasdaq.com/symbol/bbdo",
"B","Barnes Group, Inc.","40.39","2212560282.17","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/b",
"BZH","Beazer Homes USA, Inc.","18.1","496814103.3","n/a","1994","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/bzh",
"BZT","Beazer Homes USA, Inc.","27.1","0","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/bzt",
"BELFA","Bel Fuse Inc.","18.41","218258631.99","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/belfa",
"BELFB","Bel Fuse Inc.","19.08","226201776.12","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/belfb",
"BIO","Bio-Rad Laboratories, Inc.","137.03","3987796907.02","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/bio",
"BIO/B","Bio-Rad Laboratories, Inc.","135.379","0","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/bio/b",
"BLT","Blount International, Inc.","13.04","638193065.44","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/blt",
"BLBD","Blue Bird Corporation","10.18","146337500","n/a","2014","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/blbd",
"BLBDW","Blue Bird Corporation","0.7","0","n/a","2014","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/blbdw",
"BXC","BlueLinx Holdings Inc.","1.1","98357859.6","n/a","2004","Capital Goods","Wholesale Distributors","http://www.nasdaq.com/symbol/bxc",
"BA","Boeing Company (The)","149.28","105150982868.64","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/ba",
"BNSO","Bonso Electronics International, Inc.","1.31","6873442.93","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bnso",
"BWA","BorgWarner Inc.","61.09","13865790772.03","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/bwa",
"BZC","Breeze-Eastern Corporation","10.13","99433983.09","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/bzc",
"BWEN","Broadwind Energy, Inc.","4.89","72589869.06","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/bwen",
"BRKR","Bruker Corporation","18.86","3179029114.68","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/brkr",
"CSTE","CaesarStone Sdot-Yam Ltd.","57.92","2034936258.56","n/a","2012","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cste",
"CAMT","Camtek Ltd.","3.18","97290579.96","n/a","2000","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/camt",
"CRR","Carbo Ceramics, Inc.","30.12","701078541.6","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/crr",
"CSCD","Cascade Microtech, Inc.","13.77","227887909.38","n/a","2004","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cscd",
"CAT","Caterpillar, Inc.","80.24","48638804694.16","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/cat",
"CECE","CECO Environmental Corp.","10.89","287605825.65","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cece",
"CPAC","Cementos Pacasmayo S.A.A.","7.55","878766546","n/a","2012","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cpac",
"CX","Cemex S.A.B. de C.V.","9.73","11559700092.78","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cx",
"CCS","Century Communities, Inc.","19.46","415678540.9","n/a","2014","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/ccs",
"CPHD","CEPHEID","56.81","4060627344.54","n/a","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/cphd",
