Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
GLBL,TerraForm Global Inc.,NMS,-0.43,None,5.59,7.48,0.68,323.29M,1414510,14.10,2.70,2.77
CAFD,8point3 Energy Partners LP,NMS,1.02,15.37,3.65,20.41,0.87,313.91M,321236,21.15,10.26,15.69
RUN,Sunrun Inc.,NMS,-0.71,None,5.64,5.57,None,546.85M,None,5.72,5.22,5.41
CAW,CCA Industries Inc. Common Sto,ASE,-0.80,None,0.22,1.17,0.00,22.77M,3092,3.88,2.11,3.25
JAEN,JA ENERGY,OBB,-0.0610,None,0.0000,-0.6810,None,13041.70,73,0.5000,0.0500,0.0601
QCLN,First Trust NASDAQ Clean Edge G,NGM,None,None,None,0.00,None,None,19133,20.46,13.31,13.46
SLRC,Solar Capital Ltd.,NMS,1.08,None,0.00,0.00,1.60,None,172625,20.77,15.05,16.25
SUNE,SunEdison Inc. Common Stock,NYQ,-4.03,None,2.12,4.43,None,452.91M,49284400,33.45,1.37,1.43
KEN,Kenon Holdings Ltd. Ordinary Sh,NYQ,2.12,3.99,1.31,22.00,None,454.54M,5551,22.25,8.09,8.46
KYO,Kyocera Corporation Common Stoc,NYQ,2.42,17.82,2.98,55.69,0.81,15.84B,17308,59.69,38.01,43.18
DUKH,Duke Energy Corporation 5.125%,NYQ,4.05,6.36,0.00,57.74,None,17.71B,32897,25.99,24.07,25.74
CVV,CVD Equipment Corporation,NCM,-0.07,None,21.10,5.29,None,49.38M,14433,14.96,7.15,8.00
AUO,AU Optronics Corp American Depo,NYQ,0.15,16.80,10.51,5.65,0.15,2.43B,1075420,5.80,2.32,2.52
SOL,Renesola Ltd. Common Shares of,NYQ,-0.20,None,1.50,1.08,None,145.31M,666625,1.97,0.91,1.42
NJR,NewJersey Resources Corporation,NYQ,1.23,28.07,2.87,13.33,0.96,2.97B,666244,36.57,26.77,34.52
ABY,Abengoa Yield plc,NMS,0.09,187.76,6.39,21.32,1.72,1.60B,1470480,38.84,13.11,15.96
DUK,Duke Energy Corporation (Holdin,NYQ,4.05,18.41,3.20,57.74,3.30,51.29B,3568440,80.18,65.50,74.55
JST,Jinpan International Limited,NMS,0.83,6.31,0.49,13.65,0.03,85.64M,51851,5.48,3.12,5.26
IIN,IntriCon Corporation,NGM,0.29,24.93,0.24,3.04,0.00,43.21M,4348,8.65,5.59,7.23
JKS,JinkoSolar Holding Company Limi,NYQ,1.77,12.02,4.32,19.43,None,661.92M,799493,32.28,14.32,21.22
PNW,Pinnacle West Capital Corporati,NYQ,3.92,17.41,2.79,41.24,2.50,7.59B,1033310,70.00,56.01,68.25
NYLD,NRG Yield Inc. Class C Common,NYQ,0.31,40.80,12.85,18.53,0.90,1.24B,726159,28.11,10.49,12.69
SUNS,Solar Senior Capital Ltd.,NMS,1.11,None,0.00,0.00,1.41,None,25956,16.70,12.80,13.24
ENPH,Enphase Energy Inc.,NGM,-0.13,None,6.37,1.18,None,97.01M,1012760,15.25,1.63,2.14
BBLU,Blue Earth Inc.,NCM,-0.3760,None,6.2600,0.8350,None,27.56M,206682,1.6300,0.2500,0.2902
POWR,PowerSecure International Inc.,NYQ,0.16,65.19,4.24,7.19,None,231.57M,175320,16.94,9.53,10.30
JASO,JA Solar Holdings Co. Ltd.,NMS,1.50,5.89,4.36,17.82,None,426.98M,793452,10.80,6.30,8.81
IPI,Intrepid Potash Inc Common Sto,NYQ,-0.01,None,7.17,12.46,0.00,155.95M,1030600,14.60,1.75,2.06
TSL,Trina Solar Limited Sponsored A,NYQ,0.54,18.16,3.12,11.95,None,827.15M,2059830,13.33,7.15,9.77
CAP,** SEE<CAI>,NYQ,2.87,None,0.00,0.00,None,None,100362,25.70,12.75,12.99
OESX,Orion Energy Systems Inc.,NCM,-0.52,None,3.85,2.04,None,34.69M,104069,3.92,1.18,1.25
PLPC,Preformed Line Products Company,NMS,1.14,28.43,14.80,41.65,0.80,170.55M,5800,47.41,28.30,32.35
CMP,Compass Minerals Intl Inc Commo,NYQ,4.69,14.72,7.60,18.98,2.78,2.33B,360107,95.68,66.30,69.05
CSUN,China Sunergy Co. Ltd.,NMS,-3.6830,None,3.7800,-9.5510,None,11.44M,36956,2.2000,0.7300,0.7701
YGE,Yingli Green Energy Holding Com,NYQ,-39.75,None,4.41,-37.49,None,78.88M,135197,24.70,2.93,4.34
SLTD,SOLAR3D INC.,NCM,-0.47,None,4.54,0.95,None,42.87M,218090,8.88,2.00,2.41
HQCL,Hanwha Q CELLS Co. Ltd.,NMS,0.24,62.07,0.82,3.30,None,1.25B,74351,28.87,7.70,15.02
