Ticker&Date,EPS,AvgV%,VF%,priceChange,50MA%,Title,FutP
A,1.44,2.122681077,0.012190114,-0.038665488,-0.055362571,3,-0.01341824
AA-PB,-1.03,0.364784141,0.000193306,-0.001665556,-0.055765595,,0.007146988
AA,-1.03,1.418971227,0.023523329,0.001100514,-0.053744799,5,0.013285458
AAAP,-0.39,4.589445613,0.022522172,-0.005709836,0.023237179,,-0.00627287
AAC,0.18,1.135486351,0.022943725,-0.016811594,-0.035267349,,-0.032349603
AAL,9.65,0.747075511,0.011735818,0.00075643,0.057835821,4,0.01166033
AAMC,-6.59,1.061067043,0.050248714,-0.134387352,0.433246073,,-0.012158055
AAME,0.04,0.567725857,0.000814735,0.024096386,0.210826211,,#N/A
AAN,1.83,0.759801642,0.006452987,-0.013663535,-0.055600981,,-0.003522677
AAOI,0.27,0.335343975,0.010919051,-0.017193309,0.001894837,,-0.07582062
AAON,0.95,1.166538538,0.003376563,-0.008389262,0.025329632,,0.008547009
AAP,6.19,1.063193137,0.017064912,0.024068931,-0.031060504,,-0.029419967
AAPL,8.58,1.344193146,0.00896425,0.002543451,0.04185022,20,-0.007886299
AAT,0.82,0.766821964,0.00314474,-0.007932573,-0.053229241,,-0.022617535
AAU,-0.01,0.722419938,0.003516963,0.056451613,-0.02238806,,0
AAV.TO,0.03,1.454250203,0.004996171,-0.012307692,0.031049251,,-0.006349206
AAV,0.02,0.596297889,0.000327102,-0.015006821,0.015471167,,-0.008462623
AAWW,-2.3,0.536001844,0.005780595,-0.016336056,0.032076396,,-0.011750881
AB,1.92,1.416535326,0.003376236,-0.006849315,-0.023349798,,-0.035476718
ABAX,1.38,2.286234204,0.012577096,-0.044846429,-0.009186865,,-0.002117298
ABB,0.77,1.106599859,0.00098443,-0.000451875,-0.013820776,2,-0.00821256
ABBV,3.47,1.046147904,0.003953132,0.008024894,-0.022550421,2,0.000162734
ABC,7.41,0.837491693,0.010366888,0.009924623,-0.022732798,,-0.000754148
ABCB,1.99,0.862383914,0.004334065,0.005517241,0.027339346,,-0.010928962
ABCD,0.06,0.253985507,0.000527981,-0.009689922,-0.037664783,1,0.010080645
ABCO,-2.09,0.53721883,0.00370321,-0.015344665,-0.036052692,,-0.000247709
ABE.V20161007,-0.08,18.33872708,0.008166795,0,-0.333333333,,0
ABEO,-0.63,1.91075368,0.042541175,-0.064327485,0.28,4,-0.02027027
ABEV,0.23,0.67603743,0.001695228,-0.004792332,0.026359143,,-0.009646302
ABG,6.56,4.760646006,0.059112371,-0.015670911,-0.078319883,8,-0.000992063
ABGB20160427,-0.12,1.400647682,5.45E-05,-0.260869565,-0.306122449,,-0.260869565
ABI.V20161024,-0.002,0.000418917,6.66E-07,-0.0625,-0.117647059,,#N/A
ABIL,-0.034,0.075496471,0.000297004,0.002486034,-0.057413001,,-0.073529412
ABIO,-1.49,1.448145025,0.004320755,-0.009221557,-0.103910171,,-0.04
ABM,1.55,0.499125042,0.002128486,-0.003883998,-0.011053985,2,-0.004161248
ABMD,0.94,1.002486015,0.009754496,-0.029055883,-0.026420817,,0.017830756
ABN.V,-0.021,0.643897728,0.003973291,0.05,-0.227941176,,-0.090909091
ABR.V,-0.01,0.037309906,0.000128936,0,-0.333333333,,0
ABR,0.62,0.734009269,0.002181087,0.001349528,-0.00802139,,-0.001360544
ABRN,0.62,0.640439158,0.000111881,-0.000352526,0.001727048,,-0.001258283
ABT.TO,0.23,0.425291559,0.000722704,-0.001540832,-0.072961373,1,-0.001560062
ABT,0.91,0.717676597,0.004505831,-0.005690252,-0.033429533,6,0.004988775
ABTL,0.22,0.986568237,0.007287358,-0.039488966,-0.033313852,,-0.007290401
ABTX,1.63,0.334805335,0.001013182,-0.023214286,0,8,-0.014953271
ABUS,-3.58,0.442261412,0.001621536,0.015873016,-0.088319088,,0
ABX.TO,-2.43,1.232744802,0.004062774,0.014382022,0.000886918,4,-0.010964912
ABX,-2.43,1.259784213,0.017183939,0.012589928,-0.012857978,6,-0.014619883
ABY,-2.31,0.617598623,0.005432987,-0.014594595,-0.02513369,4,0.000562114
AC.TO,2.08,1.131755895,0.006069707,-0.013803681,0.189639223,1,-0.015007899
AC,-0.04,0.444302411,0.001635447,-0.011560694,-0.004946174,1,-0.008759124
ACAD,-1.93,0.820103147,0.020927157,-0.00042337,-0.211686144,,-0.035897436
ACAS,-0.98,1.848138105,0.016579604,0.006470588,0.009439528,,-0.005841121
ACAT,-1.44,0.885339176,0.008548195,-0.027081923,-0.023113528,,-0.000695894
ACBI,0.1,0.729455559,0.002427749,0.006711409,-0.001996008,,0.006666667
ACC,0.78,1.360665719,0.008286029,0.009708738,0.047753375,1,-0.011132813
ACCO,1.21,1.700463751,0.011506894,0.064814815,0.194184839,2,-0.013333333
ACD.TO,1.01,4.166666667,0.001626567,0,-0.006622517,,0
ACET,1.18,0.34278838,0.002973953,-0.014838368,-0.025681342,,0.001620746
ACFC,0.3,0.11884036,0.000347192,-0.023952096,0.01242236,,0
ACFN,-0.19,2.365596017,0.003541771,0,-0.105263158,,0.0625
ACGL,3.87,0.614715198,0.002442434,0.000385555,-0.024194559,1,-0.029604434
ACH,0.1,0.805087079,3.77E-05,-0.001076426,0.005417118,,0.00310559
ACHC,1.87,0.846621075,0.015203542,-0.019264892,-0.184271558,,-0.017021277
ACHN,0.05,0.691542134,0.010164574,-0.01754386,-0.138461538,,-0.034023669
ACIW,1.1,0.735571876,0.002642862,-0.021673387,0.019432773,1,-0.027055151
ACLS,0.38,0.53923181,0.002871459,0.014545455,0.060030395,1,-0.025641026
ACM,0.57,1.113958618,0.009083525,-0.006247703,-0.054545455,3,-0.008333333
ACN,6.45,0.615985286,0.002344453,-0.002336853,-0.000346891,,-0.001642888
ACNB,1.85,0.651557052,0.000919722,0.015296367,0.00037679,1,0
ACOR,-0.14,0.597818203,0.00924274,-0.032098765,-0.130434783,,-0.075949367
ACPW,-0.455,1.042136186,0.022839487,-0.06,-0.175438596,,-0.008658009
ACQ.TO,0.98,0.364346183,0.001450102,-0.014811849,0.076082204,,-0.007748777
ACRE,1.12,1.149600944,0.006622048,0.015151515,0.059288538,,-0.018058691
ACRS,-2.79,1.865446074,0.013676713,-0.015212528,-0.078694014,1,-0.042410714
ACRX,-0.62,0.192554029,0.002509667,-0.015873016,-0.114285714,1,-0.016393443
ACST,-0.68,0.059070421,0.001590757,-0.020833333,-0.180232558,,-0.010445338
ACTA,-2.51,0.685664268,0.002109263,0.004115226,0.059027778,2,-0.004255319
ACTG,-3.88,0.299528888,0.003244542,0.042372881,-0.022257552,1,0.024590164
ACTS,-0.66,0.028851661,2.65E-05,-0.004761905,0.004807692,,0
ACU,1.6,0.802792818,0.001083045,-0.01216545,-0.019323671,,-0.005628571
ACUR,-0.87,1.105086395,0.008254498,-0.051724138,-0.256756757,,0.017927928
ACW,-0.34,0.469437346,0.008693427,-0.008032129,-0.023715415,,-0.008097166
ACXM,0.15,0.612659878,0.002856494,-0.009984026,-0.045069337,2,-0.033051189
ACY,3.25,5.411830357,0.010049741,0.016949153,-0.023861171,,0
AD.TO,1.51,0.422702186,0.002375997,-0.020332717,-0.034168565,,-0.011904762
ADAP,-0.38,0.646831839,0.0042886,0.059196617,-0.246616541,,-0.118951613
ADAT,1.63,1.369892685,0.0028269,0.012012012,0.06984127,,0
ADBE,1.96,0.802274079,0.003458454,-0.015619357,0.028584906,1,-0.012906795
ADC,2.03,1.001144486,0.007989702,0.01209089,0.016541039,4,-0.032850439
ADES,0.03,0.319300335,0.001304446,-0.03686088,-0.018181818,,-0.013365735
ADGE,-0.022,3.51723228,0.030811352,0.1,0.053639847,,-0.002632569
ADHD,-0.8,0.189612762,0.004781431,-0.008733624,-0.358757062,,0
ADI.V,-0.3,3.588122984,0.001309865,0.076923077,0.076923077,,0
ADI,2.12,1.174739518,0.010059356,0.000624805,0.02169059,2,-0.009394082
ADK-PA,-1.36,0.286866953,0.000221898,-0.013921114,-0.027014652,,-0.006776471
ADK.V,-0.03,3.019534268,0.00729709,0,-0.042553191,2,0
ADK,-1.36,2.305400929,0.006654605,-0.061384615,-0.118734653,,0.005714286
ADM,2.47,0.777700036,0.003311372,-0.002111685,0.001177024,1,-0.00668665
